Index	Date	Time	Readings (%RH)	Readings (�C)	Type
239	9/18/2016	8:09:57 AM	58.8	18.6	
240	9/18/2016	9:09:57 AM	60.2	18.4	
241	9/18/2016	10:09:57 AM	63.4	17.6	
242	9/18/2016	11:09:57 AM	63.1	17.4	
243	9/18/2016	12:09:57 PM	65.7	17.4	
244	9/18/2016	1:09:57 PM	68.9	17.2	
245	9/18/2016	2:09:57 PM	71.2	16.8	
246	9/18/2016	3:09:57 PM	70.9	17.3	
247	9/18/2016	4:09:57 PM	71.6	17.3	
248	9/18/2016	5:09:57 PM	71.4	17.1	
249	9/18/2016	6:09:57 PM	71.1	16.9	
250	9/18/2016	7:09:57 PM	70.8	16.7	
251	9/18/2016	8:09:57 PM	71.1	16.7	
252	9/18/2016	9:09:57 PM	71.2	16.7	
253	9/18/2016	10:09:57 PM	70.6	16.8	
254	9/18/2016	11:09:57 PM	71.0	16.8	
255	9/19/2016	12:09:57 AM	70.8	16.6	
256	9/19/2016	1:09:57 AM	71.1	16.5	
257	9/19/2016	2:09:57 AM	71.8	16.4	
258	9/19/2016	3:09:57 AM	71.3	16.3	
259	9/19/2016	4:09:57 AM	71.6	16.4	
260	9/19/2016	5:09:57 AM	71.4	16.3	
261	9/19/2016	6:09:57 AM	70.9	16.3	
262	9/19/2016	7:09:57 AM	71.9	16.2	
263	9/19/2016	8:09:57 AM	73.1	16.2	
264	9/19/2016	9:09:57 AM	73.2	16.8	
265	9/19/2016	10:09:57 AM	71.8	17.1	
266	9/19/2016	11:09:57 AM	72.5	17.4	
267	9/19/2016	12:09:57 PM	74.9	17.6	
268	9/19/2016	1:09:57 PM	73.6	17.7	
269	9/19/2016	2:09:57 PM	73.8	18.1	
270	9/19/2016	3:09:57 PM	71.9	18.3	
271	9/19/2016	4:09:57 PM	69.7	18.6	
272	9/19/2016	5:09:57 PM	69.5	18.7	
273	9/19/2016	6:09:57 PM	69.8	18.6	
274	9/19/2016	7:09:57 PM	73.8	18.7	
275	9/19/2016	8:09:57 PM	73.1	18.4	
276	9/19/2016	9:09:57 PM	73.2	18.3	
277	9/19/2016	10:09:57 PM	74.4	18.3	
278	9/19/2016	11:09:57 PM	74.1	18.3	
279	9/20/2016	12:09:57 AM	74.7	17.9	
280	9/20/2016	1:09:57 AM	74.4	18.1	
281	9/20/2016	2:09:57 AM	72.8	18.3	
282	9/20/2016	3:09:57 AM	72.8	18.2	
283	9/20/2016	4:09:57 AM	72.2	18.2	
284	9/20/2016	5:09:57 AM	71.9	18.3	
285	9/20/2016	6:09:57 AM	72.5	18.1	
286	9/20/2016	7:09:57 AM	71.9	18.1	
287	9/20/2016	8:09:57 AM	72.4	18.6	
288	9/20/2016	9:09:57 AM	67.6	19.3	
289	9/20/2016	10:09:57 AM	66.7	20.6	
290	9/20/2016	11:09:57 AM	62.4	21.7	
291	9/20/2016	12:09:57 PM	58.7	23.0	
292	9/20/2016	1:09:57 PM	55.9	24.1	
293	9/20/2016	2:09:57 PM	52.5	25.0	
294	9/20/2016	3:09:57 PM	48.0	25.8	
295	9/20/2016	4:09:57 PM	45.0	27.1	
296	9/20/2016	5:09:57 PM	46.5	26.3	
297	9/20/2016	6:09:57 PM	49.6	25.7	
298	9/20/2016	7:09:57 PM	50.6	24.9	
299	9/20/2016	8:09:57 PM	52.5	24.2	
300	9/20/2016	9:09:57 PM	56.2	23.3	
301	9/20/2016	10:09:57 PM	57.9	22.8	
302	9/20/2016	11:09:57 PM	58.0	22.3	
303	9/21/2016	12:09:57 AM	59.1	21.8	
304	9/21/2016	1:09:57 AM	62.0	20.8	
