Index,Date,Time,RH,Temp,Number
143,9/13/2016,8:12:00 AM,42,23.6,1010060497
144,9/13/2016,9:12:00 AM,41.2,24.4,1010060497
145,9/13/2016,10:12:00 AM,36.2,25.6,1010060497
146,9/13/2016,11:12:00 AM,31.6,26.7,1010060497
147,9/13/2016,12:12:00 PM,29.8,27.4,1010060497
148,9/13/2016,1:12:00 PM,28.2,28.2,1010060497
149,9/13/2016,2:12:00 PM,29.1,28.7,1010060497
150,9/13/2016,3:12:00 PM,30.5,28.8,1010060497
151,9/13/2016,4:12:00 PM,31.9,28.8,1010060497
152,9/13/2016,5:12:00 PM,33.7,28.6,1010060497
153,9/13/2016,6:12:00 PM,43.6,27.8,1010060497
154,9/13/2016,7:12:00 PM,43.9,27.2,1010060497
155,9/13/2016,8:12:00 PM,44.1,26.8,1010060497
156,9/13/2016,9:12:00 PM,44.1,26.4,1010060497
157,9/13/2016,10:12:00 PM,44.3,26.2,1010060497
158,9/13/2016,11:12:00 PM,43.8,25.9,1010060497
159,9/14/2016,12:12:00 AM,42.9,25.6,1010060497
160,9/14/2016,1:12:00 AM,42.6,25.3,1010060497
161,9/14/2016,2:12:00 AM,43.4,25.1,1010060497
162,9/14/2016,3:12:00 AM,44.2,24.9,1010060497
163,9/14/2016,4:12:00 AM,44.4,24.7,1010060497
164,9/14/2016,5:12:00 AM,45.4,24.4,1010060497
165,9/14/2016,6:12:00 AM,45.6,24.3,1010060497
166,9/14/2016,7:12:00 AM,46.5,24,1010060497
167,9/14/2016,8:12:00 AM,46.7,23.9,1010060497
168,9/14/2016,9:12:00 AM,46.9,24,1010060497
169,9/14/2016,10:12:00 AM,47.7,24.2,1010060497
170,9/14/2016,11:12:00 AM,47.6,24.6,1010060497
171,9/14/2016,12:12:00 PM,47.6,25,1010060497
172,9/14/2016,1:12:00 PM,46.8,25.4,1010060497
173,9/14/2016,2:12:00 PM,45.2,25.8,1010060497
174,9/14/2016,3:12:00 PM,44.1,26.1,1010060497
