,Temperature
Sheet,1010060340
Datetime,
2016-10-14 08:39:39,22.0
2016-10-14 09:39:39,22.4
2016-10-14 10:39:39,23.8
2016-10-14 11:39:39,24.2
2016-10-14 12:39:39,23.6
2016-10-15 01:39:39,23.4
2016-10-15 02:39:39,23.2
2016-10-15 03:39:39,22.9
2016-10-15 04:39:39,22.6
2016-10-15 05:39:39,22.5
2016-10-15 06:39:39,22.8
2016-10-15 07:39:39,23.5
2016-10-15 08:39:39,25.1
2016-10-15 09:39:39,26.0
2016-10-15 10:39:39,26.7
2016-10-15 11:39:39,27.8
2016-10-15 12:39:39,23.7
2016-10-16 01:39:39,26.9
2016-10-16 02:39:39,26.5
2016-10-16 03:39:39,26.2
2016-10-16 04:39:39,26.1
2016-10-16 05:39:39,25.8
2016-10-16 06:39:39,26.9
2016-10-16 07:39:39,28.3
2016-10-16 08:39:39,29.8
2016-10-16 09:39:39,30.4
2016-10-16 10:39:39,31.7
2016-10-16 11:39:39,32.5
2016-10-16 12:39:39,27.3
2016-10-17 01:39:39,29.9
2016-10-17 02:39:39,29.3
2016-10-17 03:39:39,28.2
2016-10-17 04:39:39,26.9
2016-10-17 05:39:39,26.2
2016-10-17 06:39:39,26.1
2016-10-17 07:39:39,23.6
2016-10-17 08:39:39,23.9
2016-10-17 09:39:39,25.1
2016-10-17 10:39:39,25.1
2016-10-17 11:39:39,25.1
2016-10-17 12:39:39,30.7
2016-10-18 01:39:39,23.2
2016-10-18 02:39:39,22.7
2016-10-18 03:39:39,22.3
2016-10-18 04:39:39,22.0
2016-10-18 05:39:39,21.9
2016-10-18 06:39:39,22.1
2016-10-18 07:39:39,22.2
2016-10-18 08:39:39,22.1
2016-10-18 09:39:39,21.6
2016-10-18 10:39:39,21.8
2016-10-18 11:39:39,22.0
2016-10-18 12:39:39,23.4
2016-10-19 01:39:39,21.8
2016-10-19 02:39:39,21.8
2016-10-19 03:39:39,21.8
2016-10-19 04:39:39,21.7
2016-10-19 05:39:39,21.6
2016-10-19 06:39:39,21.7
2016-10-19 07:39:39,21.4
2016-10-19 08:39:39,21.6
2016-10-19 09:39:39,22.7
2016-10-19 10:39:39,22.9
2016-10-19 11:39:39,24.4
2016-10-19 12:39:39,21.9
2016-10-20 01:39:39,23.3
2016-10-20 02:39:39,23.2
2016-10-20 03:39:39,23.1
2016-10-20 04:39:39,23.2
2016-10-20 05:39:39,23.2
2016-10-20 06:39:39,23.5
2016-10-20 07:39:39,24.2
2016-10-20 08:39:39,25.5
2016-10-20 09:39:39,26.7
2016-10-20 10:39:39,26.9
2016-10-20 11:39:39,28.1
2016-10-20 12:39:39,23.6
2016-10-21 01:39:39,26.0
2016-10-21 02:39:39,25.6
2016-10-21 03:39:39,25.6
2016-10-21 04:39:39,25.4
2016-10-21 05:39:39,25.2
2016-10-21 06:39:39,25.4
2016-10-21 07:39:39,25.7
2016-10-21 08:39:39,27.2
2016-10-21 09:39:39,28.1
2016-10-21 10:39:39,28.7
2016-10-21 11:39:39,29.4
2016-10-21 12:39:39,26.6
2016-10-22 01:39:39,26.5
2016-10-22 02:39:39,26.2
2016-10-22 03:39:39,26.1
2016-10-22 04:39:39,25.9
2016-10-22 05:39:39,25.8
2016-10-22 06:39:39,26.1
2016-10-22 07:39:39,27.4
2016-10-22 08:39:39,28.9
2016-10-22 09:39:39,30.7
2016-10-22 10:39:39,31.4
2016-10-22 11:39:39,32.1
2016-10-22 12:39:39,26.6
2016-10-23 01:39:39,28.9
2016-10-23 02:39:39,28.6
2016-10-23 03:39:39,28.7
2016-10-23 04:39:39,27.9
2016-10-23 05:39:39,27.4
2016-10-23 06:39:39,27.3
2016-10-23 07:39:39,27.2
2016-10-23 08:39:39,27.6
2016-10-23 09:39:39,28.2
2016-10-23 10:39:39,29.7
2016-10-23 11:39:39,31.5
2016-10-23 12:39:39,28.8
2016-10-24 01:39:39,30.1
2016-10-24 02:39:39,29.7
2016-10-24 03:39:39,29.5
2016-10-24 04:39:39,29.0
2016-10-24 05:39:39,28.8
2016-10-24 06:39:39,28.6
2016-10-24 07:39:39,28.8
2016-10-24 08:39:39,29.0
2016-10-24 09:39:39,30.7
2016-10-24 10:39:39,31.7
2016-10-24 11:39:39,32.5
2016-10-24 12:39:39,30.6
2016-10-25 01:39:39,30.1
2016-10-25 02:39:39,28.9
2016-10-25 03:39:39,28.6
2016-10-25 04:39:39,28.2
2016-10-25 05:39:39,27.9
2016-10-25 06:39:39,28.0
2016-10-25 07:39:39,27.9
2016-10-25 08:39:39,28.1
2016-10-25 09:39:39,29.6
2016-10-25 10:39:39,30.7
2016-10-25 11:39:39,31.2
2016-10-25 12:39:39,32.1
2016-10-26 01:39:39,28.4
2016-10-26 02:39:39,28.1
2016-10-26 03:39:39,27.7
2016-10-26 04:39:39,27.6
2016-10-26 05:39:39,27.2
2016-10-26 06:39:39,25.4
2016-10-26 07:39:39,24.6
2016-10-26 08:39:39,25.3
2016-10-26 09:39:39,25.2
2016-10-26 10:39:39,25.2
2016-10-26 11:39:39,26.0
2016-10-26 12:39:39,28.9
2016-10-27 01:39:39,27.1
2016-10-27 02:39:39,27.0
2016-10-27 03:39:39,27.0
2016-10-27 04:39:39,26.9
2016-10-27 05:39:39,26.6
2016-10-27 06:39:39,26.9
2016-10-27 07:39:39,26.2
2016-10-27 08:39:39,28.3
2016-10-27 09:39:39,29.6
2016-10-27 10:39:39,30.7
2016-10-27 11:39:39,31.3
2016-10-27 12:39:39,27.5
2016-10-28 01:39:39,29.8
2016-10-28 02:39:39,29.4
2016-10-28 03:39:39,28.9
2016-10-28 04:39:39,28.6
2016-10-28 05:39:39,28.2
2016-10-28 06:39:39,29.7
2016-10-28 07:39:39,31.3
2016-10-28 08:39:39,32.9
2016-10-28 09:39:39,33.7
2016-10-28 10:39:39,34.5
2016-10-28 11:39:39,35.2
2016-10-28 12:39:39,30.2
2016-10-29 01:39:39,31.1
2016-10-29 02:39:39,30.7
2016-10-29 03:39:39,30.4
2016-10-29 04:39:39,30.2
2016-10-29 05:39:39,29.5
2016-10-29 06:39:39,29.1
2016-10-29 07:39:39,30.7
2016-10-29 08:39:39,32.3
2016-10-29 09:39:39,33.3
2016-10-29 10:39:39,33.8
2016-10-29 11:39:39,34.6
2016-10-29 12:39:39,31.4
2016-10-30 01:39:39,31.8
2016-10-30 02:39:39,31.4
2016-10-30 03:39:39,30.8
2016-10-30 04:39:39,30.7
2016-10-30 05:39:39,29.8
2016-10-30 06:39:39,31.2
2016-10-30 07:39:39,33.3
2016-10-30 08:39:39,33.8
2016-10-30 09:39:39,34.8
2016-10-30 10:39:39,35.8
2016-10-30 11:39:39,36.6
2016-10-30 12:39:39,32.3
2016-10-31 01:39:39,29.4
2016-10-31 02:39:39,29.1
2016-10-31 03:39:39,28.8
2016-10-31 04:39:39,28.4
2016-10-31 05:39:39,27.9
2016-10-31 06:39:39,28.6
2016-10-31 07:39:39,29.1
2016-10-31 08:39:39,29.8
2016-10-31 09:39:39,30.4
2016-10-31 10:39:39,31.7
2016-10-31 11:39:39,32.2
2016-10-31 12:39:39,29.8
2016-11-01 01:39:39,29.6
2016-11-01 02:39:39,28.8
2016-11-01 03:39:39,28.7
2016-11-01 04:39:39,28.3
2016-11-01 05:39:39,27.9
2016-11-01 06:39:39,26.6
2016-11-01 07:39:39,27.1
2016-11-01 08:39:39,25.9
2016-11-01 09:39:39,27.4
2016-11-01 10:39:39,27.9
2016-11-01 11:39:39,27.6
2016-11-01 12:39:39,29.9
2016-11-02 01:39:39,27.0
2016-11-02 02:39:39,26.9
2016-11-02 03:39:39,26.9
